loan_id,customer_id,loan_amount,interest_rate,issue_date,loan_status,annual_income,employment_length,scheduled_payment_date,actual_payment_date,amount_due,amount_paid,DaysPastDue,OutstandingBalance,DelinquencyTier
LN000183,10183,41809,8.12,2024-03-04,Current,141987,1 year,2024-12-29,2024-12-31,1498.35,1132.78,2,40676.22,Bucket 1 (Low Risk)
LN000184,10184,18118,8.21,2024-05-23,Current,70260,10+ years,2025-01-18,2025-01-17,1461.07,1272.62,-1,16845.38,Current
LN000185,10185,25944,18.02,2023-12-28,Current,167126,2 years,2024-05-26,2024-05-26,1412.79,1154.17,0,24789.83,Bucket 1 (Low Risk)
LN000186,10186,46792,9.13,2023-01-06,In Grace Period,56814,1 year,2023-04-06,2023-04-07,331.54,1248.45,1,45543.55,Bucket 1 (Low Risk)
LN000187,10187,41308,16.3,2023-04-24,Fully Paid,169610,1 year,2024-02-18,2024-02-17,777.79,378.9,-1,40929.1,Current
LN000188,10188,36369,15.46,2024-02-27,Current,175706,<1 year,2024-05-27,2024-05-30,839.97,1070.81,3,35298.19,Bucket 1 (Low Risk)
LN000189,10189,49571,15.31,2022-05-12,Fully Paid,169520,10+ years,2023-03-08,2023-03-08,454.84,1221.34,0,48349.66,Bucket 1 (Low Risk)
LN000190,10190,37955,22.39,2022-02-26,Fully Paid,160817,1 year,2022-07-26,2022-07-26,1421.69,494.36,0,37460.64,Bucket 1 (Low Risk)
LN000191,10191,19776,12.23,2023-06-16,Fully Paid,45672,2 years,2023-10-14,2023-10-16,663.39,450.2,2,19325.8,Bucket 1 (Low Risk)
LN000192,10192,39962,7.68,2023-10-19,Current,177212,1 year,2024-01-17,2024-01-20,976.34,1311.04,3,38650.96,Bucket 1 (Low Risk)
LN000193,10193,6859,7.46,2023-10-19,Default,94377,10+ years,2024-02-16,,1220.35,0.0,871,6859.0,Default / Write-Off
LN000194,10194,32301,17.13,2022-02-01,Current,168019,2 years,2022-12-28,2022-12-30,1265.63,879.53,2,31421.47,Bucket 1 (Low Risk)
LN000195,10195,49891,13.31,2023-04-10,Current,40705,1 year,2023-12-06,2023-12-10,544.83,881.1,4,49009.9,Bucket 1 (Low Risk)
LN000196,10196,44758,8.59,2024-06-01,Late,115536,3 years,2024-08-30,2024-10-21,427.42,563.48,52,44194.52,Bucket 2 (Medium Risk)
LN000197,10197,20842,14.4,2022-10-01,Current,61930,<1 year,2022-10-31,2022-11-02,1337.0,1434.46,2,19407.54,Bucket 1 (Low Risk)
LN000198,10198,32402,10.47,2024-06-05,Fully Paid,110835,5 years,2025-05-31,2025-06-03,491.21,527.8,3,31874.2,Bucket 1 (Low Risk)
LN000199,10199,38733,14.4,2024-06-19,Current,31075,<1 year,2025-01-15,2025-01-20,558.17,1460.02,5,37272.98,Bucket 1 (Low Risk)
LN000200,10200,28127,6.88,2022-10-16,Current,148361,2 years,2023-07-13,2023-07-11,817.11,1316.61,-2,26810.39,Current
LN000201,10201,22332,19.1,2024-02-22,Current,36860,3 years,2024-03-23,2024-03-24,646.32,735.03,1,21596.97,Bucket 1 (Low Risk)
LN000202,10202,30319,15.08,2024-02-22,In Grace Period,56145,1 year,2024-04-22,2024-04-26,1484.15,747.84,4,29571.16,Bucket 1 (Low Risk)
LN000203,10203,41558,22.9,2024-02-13,Current,158463,3 years,2024-11-09,2024-11-07,464.44,354.36,-2,41203.64,Current
LN000204,10204,26826,20.47,2023-06-16,Current,160136,1 year,2023-12-13,2023-12-16,1488.74,495.0,3,26331.0,Bucket 1 (Low Risk)
LN000205,10205,24610,16.69,2023-06-04,Fully Paid,164549,3 years,2024-05-29,2024-05-31,319.96,869.87,2,23740.13,Bucket 1 (Low Risk)
LN000206,10206,26708,18.13,2023-03-03,In Grace Period,31985,5 years,2023-10-29,2023-10-31,1239.48,1460.48,2,25247.52,Bucket 1 (Low Risk)
LN000207,10207,42910,16.4,2024-01-09,Current,150946,1 year,2024-10-05,2024-10-09,1116.87,477.33,4,42432.67,Bucket 1 (Low Risk)
LN000208,10208,7069,16.31,2023-12-19,Current,29964,3 years,2024-06-16,2024-06-20,1128.6,481.72,4,6587.28,Bucket 1 (Low Risk)
LN000209,10209,31894,15.03,2023-09-19,Fully Paid,41326,10+ years,2023-12-18,2023-12-19,1497.75,973.06,1,30920.94,Bucket 1 (Low Risk)
LN000210,10210,36350,15.46,2022-11-18,Fully Paid,145498,5 years,2023-05-17,2023-05-20,1341.19,1111.04,3,35238.96,Bucket 1 (Low Risk)
LN000211,10211,49613,17.58,2023-12-11,Current,151924,1 year,2024-04-09,2024-04-11,569.84,969.7,2,48643.3,Bucket 1 (Low Risk)
LN000212,10212,24504,19.88,2023-12-23,Current,153189,2 years,2024-08-19,2024-08-22,1421.38,972.59,3,23531.41,Bucket 1 (Low Risk)
LN000213,10213,22921,11.18,2023-08-11,Late,124534,3 years,2024-02-07,2024-03-01,645.16,361.41,23,22559.59,Bucket 1 (Low Risk)
LN000214,10214,10179,12.23,2023-03-29,Late,150587,1 year,2023-07-27,2023-10-08,974.42,344.02,73,9834.98,Bucket 3 (High Risk)
LN000215,10215,22800,8.47,2023-09-23,Late,87726,1 year,2023-10-23,2024-01-21,570.81,914.67,90,21885.33,Bucket 3 (High Risk)
LN000216,10216,20259,6.94,2023-02-28,Current,148837,<1 year,2024-01-24,2024-01-24,960.42,306.22,0,19952.78,Bucket 1 (Low Risk)
LN000217,10217,15350,13.32,2024-06-18,Current,77286,2 years,2024-12-15,2024-12-17,1389.52,1075.08,2,14274.92,Bucket 1 (Low Risk)
LN000218,10218,10862,17.74,2022-08-26,In Grace Period,34777,1 year,2023-03-24,2023-03-24,343.61,1420.71,0,9441.29,Bucket 1 (Low Risk)
LN000219,10219,31017,20.18,2022-07-10,Fully Paid,100882,<1 year,2022-08-09,2022-08-11,428.76,981.55,2,30035.45,Bucket 1 (Low Risk)
LN000220,10220,26957,11.12,2023-10-19,In Grace Period,154476,1 year,2024-07-15,2024-07-20,1270.58,627.4,5,26329.6,Bucket 1 (Low Risk)
LN000221,10221,26671,8.92,2023-04-15,Late,73810,<1 year,2024-04-09,2024-05-27,981.34,811.69,48,25859.31,Bucket 2 (Medium Risk)
LN000222,10222,17659,9.16,2024-05-26,Late,131296,3 years,2025-02-20,2025-04-07,1103.11,178.06,46,17480.94,Bucket 2 (Medium Risk)
LN000223,10223,17109,23.67,2023-05-04,Current,90024,<1 year,2023-10-01,2023-10-05,1204.51,582.63,4,16526.37,Bucket 1 (Low Risk)
LN000224,10224,26602,11.44,2024-01-11,In Grace Period,93564,10+ years,2024-07-09,2024-07-10,441.87,374.55,1,26227.45,Bucket 1 (Low Risk)
LN000225,10225,25106,8.87,2023-12-04,In Grace Period,106521,10+ years,2024-02-02,2024-02-04,565.02,741.05,2,24364.95,Bucket 1 (Low Risk)
LN000226,10226,13753,14.61,2023-04-11,Late,122943,3 years,2024-04-05,2024-06-19,1208.82,921.52,75,12831.48,Bucket 3 (High Risk)
LN000227,10227,48522,20.86,2024-02-20,Current,46461,5 years,2024-10-17,2024-10-20,977.0,393.72,3,48128.28,Bucket 1 (Low Risk)
LN000228,10228,9047,20.92,2023-06-02,Current,165682,1 year,2023-08-31,2023-09-03,830.21,1325.38,3,7721.62,Bucket 1 (Low Risk)
LN000229,10229,49583,9.7,2023-08-21,Current,158791,3 years,2023-09-20,2023-09-25,798.51,458.33,5,49124.67,Bucket 1 (Low Risk)
LN000230,10230,41956,7.04,2023-04-19,Late,105784,10+ years,2023-05-19,2023-07-13,303.62,329.01,55,41626.99,Bucket 2 (Medium Risk)
LN000231,10231,19280,16.41,2022-02-16,Current,41714,5 years,2022-03-18,2022-03-17,866.49,1483.36,-1,17796.64,Current
LN000232,10232,23814,13.36,2024-02-27,Current,135195,2 years,2024-09-24,2024-09-29,1388.12,1343.54,5,22470.46,Bucket 1 (Low Risk)
LN000233,10233,29618,7.44,2023-11-09,Fully Paid,59862,10+ years,2024-05-07,2024-05-06,944.71,514.17,-1,29103.83,Current
LN000234,10234,39658,8.29,2022-08-17,Fully Paid,30959,2 years,2023-04-14,2023-04-18,1288.03,938.32,4,38719.68,Bucket 1 (Low Risk)
LN000235,10235,21220,14.29,2022-06-08,Current,54581,<1 year,2023-05-04,2023-05-08,1423.49,1037.91,4,20182.09,Bucket 1 (Low Risk)
LN000236,10236,6025,10.33,2022-03-10,Current,33801,3 years,2023-01-04,2023-01-02,353.08,593.68,-2,5431.32,Current
LN000237,10237,33767,10.22,2022-08-11,Default,39796,1 year,2023-05-08,,1492.18,0.0,1155,33767.0,Default / Write-Off
LN000238,10238,20346,20.68,2024-01-20,In Grace Period,176381,5 years,2024-12-15,2024-12-18,1351.51,584.28,3,19761.72,Bucket 1 (Low Risk)
LN000239,10239,48267,15.38,2023-02-28,Current,40979,5 years,2023-12-25,2023-12-25,812.64,1051.19,0,47215.81,Bucket 1 (Low Risk)
LN000240,10240,37481,6.84,2022-12-19,Fully Paid,124917,5 years,2023-06-17,2023-06-21,659.87,789.91,4,36691.09,Bucket 1 (Low Risk)
LN000241,10241,17050,19.58,2023-04-30,Current,84072,2 years,2024-04-24,2024-04-24,1397.69,1266.93,0,15783.07,Bucket 1 (Low Risk)
LN000242,10242,41856,13.43,2023-03-03,In Grace Period,60151,3 years,2023-07-01,2023-07-03,1076.05,544.0,2,41312.0,Bucket 1 (Low Risk)
LN000243,10243,34477,21.25,2022-04-05,In Grace Period,74933,<1 year,2022-09-02,2022-09-06,1023.51,1108.41,4,33368.59,Bucket 1 (Low Risk)
LN000244,10244,9769,9.39,2024-02-19,In Grace Period,171499,1 year,2024-10-16,2024-10-17,699.56,1343.37,1,8425.630000000001,Bucket 1 (Low Risk)
LN000245,10245,6004,9.81,2022-07-14,Fully Paid,55753,10+ years,2023-03-11,2023-03-12,1144.52,1134.75,1,4869.25,Bucket 1 (Low Risk)
LN000246,10246,30993,22.47,2023-07-20,Current,99202,3 years,2024-03-16,2024-03-19,731.57,670.11,3,30322.89,Bucket 1 (Low Risk)
LN000247,10247,37589,14.39,2024-04-02,Fully Paid,148074,2 years,2024-07-31,2024-08-03,354.86,675.51,3,36913.49,Bucket 1 (Low Risk)
LN000248,10248,19501,19.34,2022-01-17,Current,178100,5 years,2023-01-12,2023-01-16,535.43,654.23,4,18846.77,Bucket 1 (Low Risk)
LN000249,10249,20074,12.84,2024-05-03,Current,169347,10+ years,2025-03-29,2025-04-01,1285.91,608.79,3,19465.21,Bucket 1 (Low Risk)
LN000250,10250,47054,19.31,2023-04-17,Current,117320,1 year,2023-07-16,2023-07-21,1367.24,520.86,5,46533.14,Bucket 1 (Low Risk)
LN000251,10251,47061,23.23,2023-06-21,Current,44485,10+ years,2023-07-21,2023-07-19,1311.05,794.87,-2,46266.13,Current
LN000252,10252,20167,7.22,2022-06-04,Current,157574,3 years,2022-12-01,2022-11-29,1100.11,1041.4,-2,19125.6,Current
LN000253,10253,45404,22.43,2023-11-07,Current,26733,5 years,2024-08-03,2024-08-07,935.3,314.22,4,45089.78,Bucket 1 (Low Risk)
LN000254,10254,23005,15.64,2022-10-21,Current,137872,1 year,2022-12-20,2022-12-19,589.16,929.26,-1,22075.74,Current
LN000255,10255,45617,15.48,2024-04-14,Current,129044,<1 year,2024-10-11,2024-10-15,591.85,850.8,4,44766.2,Bucket 1 (Low Risk)
LN000256,10256,19801,11.4,2024-04-27,Fully Paid,33305,<1 year,2024-11-23,2024-11-27,871.21,752.6,4,19048.4,Bucket 1 (Low Risk)
LN000257,10257,46729,6.17,2022-06-25,Current,138746,10+ years,2022-12-22,2022-12-21,1402.98,1373.75,-1,45355.25,Current
LN000258,10258,20057,9.81,2024-06-07,Late,173579,3 years,2024-11-04,2024-11-14,1121.31,931.74,10,19125.26,Bucket 1 (Low Risk)
LN000259,10259,23374,22.19,2023-08-01,Late,72016,2 years,2023-08-31,2023-10-01,1202.71,628.33,31,22745.67,Bucket 2 (Medium Risk)
LN000260,10260,31102,22.72,2022-11-03,Current,88038,5 years,2023-06-01,2023-06-04,1187.69,760.62,3,30341.38,Bucket 1 (Low Risk)
LN000261,10261,10139,15.01,2022-12-21,Current,139580,1 year,2023-02-19,2023-02-22,1036.64,1026.2,3,9112.8,Bucket 1 (Low Risk)
LN000262,10262,44033,13.14,2024-03-03,Current,96651,3 years,2024-10-29,2024-10-30,1429.37,726.97,1,43306.03,Bucket 1 (Low Risk)
LN000263,10263,33301,9.34,2023-08-23,Late,47464,5 years,2024-01-20,2024-02-25,398.45,741.8,36,32559.2,Bucket 2 (Medium Risk)
LN000264,10264,15107,12.84,2024-03-13,Late,127137,2 years,2024-09-09,2024-09-27,1431.55,182.37,18,14924.63,Bucket 1 (Low Risk)
LN000265,10265,34146,12.48,2022-10-04,Current,47884,1 year,2023-05-02,2023-05-07,914.93,968.38,5,33177.62,Bucket 1 (Low Risk)
LN000266,10266,11769,6.47,2022-12-29,In Grace Period,110047,3 years,2023-01-28,2023-01-30,1235.0,796.57,2,10972.43,Bucket 1 (Low Risk)
LN000267,10267,41669,22.29,2022-09-06,In Grace Period,69455,10+ years,2023-04-04,2023-04-04,661.36,466.61,0,41202.39,Bucket 1 (Low Risk)
LN000268,10268,37317,8.63,2022-06-21,Current,135389,2 years,2023-02-16,2023-02-15,1433.07,733.35,-1,36583.65,Current
LN000269,10269,45962,14.92,2023-09-24,Current,53042,1 year,2024-02-21,2024-02-19,698.66,1438.59,-2,44523.41,Current
LN000270,10270,45644,12.84,2024-06-01,Current,112749,3 years,2025-04-27,2025-04-27,1023.85,660.52,0,44983.48,Bucket 1 (Low Risk)
LN000271,10271,18163,14.62,2022-07-01,Fully Paid,108660,2 years,2023-06-26,2023-07-01,1238.37,1461.32,5,16701.68,Bucket 1 (Low Risk)
LN000272,10272,26357,12.77,2024-04-16,Default,120686,<1 year,2025-02-10,,539.76,0.0,511,26357.0,Default / Write-Off
LN000273,10273,40758,9.24,2024-02-26,In Grace Period,146011,10+ years,2024-06-25,2024-06-30,1297.54,1257.22,5,39500.78,Bucket 1 (Low Risk)
LN000274,10274,9532,20.74,2024-03-25,Default,155889,1 year,2025-02-18,,663.4,0.0,503,9532.0,Default / Write-Off
LN000275,10275,21559,17.86,2024-01-03,Current,123825,<1 year,2024-08-30,2024-09-04,941.24,998.69,5,20560.31,Bucket 1 (Low Risk)
LN000276,10276,32413,15.79,2024-03-20,Fully Paid,165746,5 years,2025-02-13,2025-02-12,597.88,431.24,-1,31981.76,Current
LN000277,10277,48561,12.39,2023-10-25,Late,172644,10+ years,2024-09-19,2024-12-15,1203.22,459.66,87,48101.34,Bucket 3 (High Risk)
LN000278,10278,33210,7.91,2022-04-11,Current,158870,10+ years,2023-01-06,2023-01-07,769.36,834.93,1,32375.07,Bucket 1 (Low Risk)
LN000279,10279,49535,16.59,2023-05-28,Current,31438,3 years,2023-07-27,2023-07-29,1454.07,799.17,2,48735.83,Bucket 1 (Low Risk)
LN000280,10280,12606,20.96,2024-01-18,Current,106760,2 years,2024-09-14,2024-09-15,717.96,925.34,1,11680.66,Bucket 1 (Low Risk)
LN000281,10281,11397,13.89,2023-12-15,Current,42609,2 years,2024-01-14,2024-01-13,711.69,327.1,-1,11069.9,Current
LN000282,10282,12167,18.19,2022-06-18,Fully Paid,88940,5 years,2022-09-16,2022-09-16,811.64,697.19,0,11469.81,Bucket 1 (Low Risk)
LN000283,10283,35281,10.17,2023-02-19,Late,73860,10+ years,2024-01-15,2024-03-15,1184.87,456.02,60,34824.98,Bucket 2 (Medium Risk)
LN000284,10284,17931,14.09,2023-03-16,Current,81307,1 year,2023-08-13,2023-08-12,1259.4,992.82,-1,16938.18,Current
LN000285,10285,40185,9.37,2022-11-30,Current,54872,2 years,2023-10-26,2023-10-31,1066.93,933.26,5,39251.74,Bucket 1 (Low Risk)
LN000286,10286,44123,13.0,2023-02-06,In Grace Period,116206,2 years,2023-10-04,2023-10-04,1147.19,1276.49,0,42846.51,Bucket 1 (Low Risk)
LN000287,10287,24493,22.54,2023-08-28,Current,60113,2 years,2023-10-27,2023-10-28,519.65,666.46,1,23826.54,Bucket 1 (Low Risk)
LN000288,10288,14264,15.19,2023-03-05,In Grace Period,175681,3 years,2023-10-01,2023-10-01,944.86,884.0,0,13380.0,Bucket 1 (Low Risk)
LN000289,10289,47287,22.75,2022-06-27,In Grace Period,153356,2 years,2022-09-25,2022-09-25,841.2,677.5,0,46609.5,Bucket 1 (Low Risk)
LN000290,10290,8513,21.58,2022-01-10,Current,76151,3 years,2022-10-07,2022-10-12,890.07,790.96,5,7722.04,Bucket 1 (Low Risk)
LN000291,10291,34088,14.8,2022-03-26,In Grace Period,82810,2 years,2022-04-25,2022-04-27,646.4,569.81,2,33518.19,Bucket 1 (Low Risk)
LN000292,10292,34971,16.18,2024-03-02,Default,169107,5 years,2024-05-01,,987.26,0.0,796,34971.0,Default / Write-Off
LN000293,10293,22556,19.95,2024-04-23,Fully Paid,167093,<1 year,2025-04-18,2025-04-23,1487.73,955.62,5,21600.38,Bucket 1 (Low Risk)
LN000294,10294,11711,19.25,2023-11-01,Default,103042,<1 year,2024-06-28,,615.38,0.0,738,11711.0,Default / Write-Off
LN000295,10295,10700,13.9,2022-05-01,Default,87113,1 year,2023-04-26,,1005.51,0.0,1167,10700.0,Default / Write-Off
LN000296,10296,27978,21.5,2023-09-17,Late,68511,5 years,2023-12-16,2024-01-16,1266.53,832.18,31,27145.82,Bucket 2 (Medium Risk)
LN000297,10297,42360,12.31,2022-10-15,In Grace Period,69139,2 years,2023-10-10,2023-10-12,620.81,647.2,2,41712.8,Bucket 1 (Low Risk)
LN000298,10298,38712,23.74,2023-11-27,Fully Paid,60543,3 years,2023-12-27,2023-12-29,452.27,1340.46,2,37371.54,Bucket 1 (Low Risk)
LN000299,10299,13696,10.49,2023-12-30,Current,89894,10+ years,2024-07-27,2024-08-01,1058.88,470.61,5,13225.39,Bucket 1 (Low Risk)
LN000300,10300,46144,13.46,2023-04-08,Current,49404,3 years,2024-01-03,2024-01-05,1352.78,1133.64,2,45010.36,Bucket 1 (Low Risk)
LN000301,10301,34798,23.1,2022-12-02,In Grace Period,49416,10+ years,2023-07-30,2023-08-02,1254.81,1320.13,3,33477.87,Bucket 1 (Low Risk)
LN000302,10302,31064,9.92,2023-03-16,Fully Paid,154686,2 years,2023-09-12,2023-09-14,993.52,705.31,2,30358.69,Bucket 1 (Low Risk)
LN000303,10303,42102,21.34,2024-03-18,Current,37690,<1 year,2024-05-17,2024-05-22,1415.32,319.54,5,41782.46,Bucket 1 (Low Risk)
LN000304,10304,15353,13.94,2022-01-01,Fully Paid,137145,1 year,2022-12-27,2022-12-27,662.24,1358.58,0,13994.42,Bucket 1 (Low Risk)
LN000305,10305,22958,7.68,2023-01-05,Current,122476,10+ years,2023-12-01,2023-12-01,1050.73,362.14,0,22595.86,Bucket 1 (Low Risk)
LN000306,10306,20344,13.73,2022-04-04,Late,25284,1 year,2022-11-30,2022-12-14,571.43,219.43,14,20124.57,Bucket 1 (Low Risk)
LN000307,10307,49563,14.01,2022-01-09,Late,56612,3 years,2023-01-04,2023-01-25,574.74,529.93,21,49033.07,Bucket 1 (Low Risk)
LN000308,10308,10854,19.15,2022-04-15,Current,121354,2 years,2022-07-14,2022-07-18,1203.79,1228.15,4,9625.85,Bucket 1 (Low Risk)
LN000309,10309,13725,17.55,2023-11-25,Current,164069,5 years,2023-12-25,2023-12-25,1166.92,828.12,0,12896.88,Bucket 1 (Low Risk)
LN000310,10310,46161,19.47,2023-02-26,Late,140968,1 year,2023-04-27,2023-05-14,447.79,226.01,17,45934.99,Bucket 1 (Low Risk)
LN000311,10311,30167,12.33,2023-03-16,Current,61655,1 year,2023-08-13,2023-08-12,1021.2,597.8,-1,29569.2,Current
LN000312,10312,44819,11.13,2023-12-09,Current,104075,1 year,2024-09-04,2024-09-05,654.65,1197.41,1,43621.59,Bucket 1 (Low Risk)
LN000313,10313,8576,20.11,2024-03-23,Fully Paid,154731,3 years,2024-05-22,2024-05-23,1012.72,899.5,1,7676.5,Bucket 1 (Low Risk)
LN000314,10314,39621,22.0,2022-01-13,Fully Paid,107961,1 year,2022-08-11,2022-08-15,1119.53,738.49,4,38882.51,Bucket 1 (Low Risk)
LN000315,10315,35868,23.18,2024-02-28,Current,178973,<1 year,2024-03-29,2024-03-31,1407.1,558.89,2,35309.11,Bucket 1 (Low Risk)
LN000316,10316,31081,15.12,2023-10-06,Late,133903,3 years,2024-09-30,2024-11-25,943.88,174.19,56,30906.81,Bucket 2 (Medium Risk)
LN000317,10317,45373,8.75,2022-03-27,Current,159035,1 year,2022-06-25,2022-06-28,1061.15,768.88,3,44604.12,Bucket 1 (Low Risk)
LN000318,10318,47587,18.26,2022-03-09,Current,139684,10+ years,2022-07-07,2022-07-05,1409.55,593.38,-2,46993.62,Current
LN000319,10319,12601,14.16,2023-09-16,Current,71044,<1 year,2023-10-16,2023-10-16,496.6,1141.8,0,11459.2,Bucket 1 (Low Risk)
LN000320,10320,27721,15.41,2024-03-12,Fully Paid,92960,1 year,2024-09-08,2024-09-08,1348.15,1199.73,0,26521.27,Bucket 1 (Low Risk)
LN000321,10321,12736,19.89,2022-01-31,Current,137544,2 years,2022-10-28,2022-10-27,1470.06,615.54,-1,12120.46,Current
LN000322,10322,46125,7.39,2023-04-12,In Grace Period,39533,3 years,2024-02-06,2024-02-06,606.14,741.23,0,45383.77,Bucket 1 (Low Risk)
LN000323,10323,11743,22.1,2023-11-22,Late,84874,10+ years,2024-08-18,2024-08-23,1335.51,139.63,5,11603.37,Bucket 1 (Low Risk)
LN000324,10324,21026,6.83,2023-01-08,Current,64343,1 year,2023-02-07,2023-02-11,597.92,569.42,4,20456.58,Bucket 1 (Low Risk)
LN000325,10325,25967,10.88,2022-03-21,In Grace Period,56300,5 years,2023-02-14,2023-02-12,1265.21,515.21,-2,25451.79,Current
LN000326,10326,8009,23.17,2022-03-12,Fully Paid,99005,2 years,2022-09-08,2022-09-07,309.56,963.71,-1,7045.29,Current
LN000327,10327,18151,11.25,2024-03-14,Current,88591,3 years,2024-09-10,2024-09-15,1231.06,1497.34,5,16653.66,Bucket 1 (Low Risk)
LN000328,10328,40819,19.69,2022-09-09,Current,132488,<1 year,2023-01-07,2023-01-10,1132.15,1063.13,3,39755.87,Bucket 1 (Low Risk)
LN000329,10329,5628,23.12,2022-01-02,Default,123638,10+ years,2022-12-28,,669.01,0.0,1286,5628.0,Default / Write-Off
LN000330,10330,18447,15.54,2022-09-01,Current,40701,1 year,2023-08-27,2023-08-29,1405.53,411.63,2,18035.37,Bucket 1 (Low Risk)
LN000331,10331,39062,13.44,2023-01-17,Current,47256,5 years,2023-03-18,2023-03-18,773.22,1064.66,0,37997.34,Bucket 1 (Low Risk)
LN000332,10332,43790,16.22,2023-03-22,Late,59264,1 year,2023-08-19,2023-09-26,1411.25,865.82,38,42924.18,Bucket 2 (Medium Risk)
LN000333,10333,30752,18.61,2024-01-24,Current,143687,2 years,2024-05-23,2024-05-22,463.33,1432.27,-1,29319.73,Current
LN000334,10334,43319,7.96,2022-04-19,Current,147173,2 years,2022-11-15,2022-11-14,1457.56,943.11,-1,42375.89,Current
LN000335,10335,18607,14.13,2023-04-20,Current,56434,<1 year,2023-07-19,2023-07-21,1136.25,1291.66,2,17315.34,Bucket 1 (Low Risk)
LN000336,10336,7643,9.87,2024-05-27,Current,48910,10+ years,2024-09-24,2024-09-27,358.74,775.49,3,6867.51,Bucket 1 (Low Risk)
LN000337,10337,24584,10.68,2022-06-28,Current,131008,3 years,2023-03-25,2023-03-26,422.29,413.67,1,24170.33,Bucket 1 (Low Risk)
LN000338,10338,14161,8.19,2022-03-05,Fully Paid,83271,1 year,2022-07-03,2022-07-07,1056.36,746.69,4,13414.31,Bucket 1 (Low Risk)
LN000339,10339,47250,7.51,2023-08-24,Current,44657,<1 year,2023-10-23,2023-10-24,832.12,1383.0,1,45867.0,Bucket 1 (Low Risk)
LN000340,10340,13440,7.66,2024-05-17,Fully Paid,111913,<1 year,2024-06-16,2024-06-21,1408.96,360.77,5,13079.23,Bucket 1 (Low Risk)
LN000341,10341,33387,20.79,2023-02-09,Current,125330,10+ years,2023-09-07,2023-09-07,1389.97,724.73,0,32662.27,Bucket 1 (Low Risk)
LN000342,10342,23021,11.04,2022-06-02,Current,89431,10+ years,2022-10-30,2022-11-04,960.83,794.39,5,22226.61,Bucket 1 (Low Risk)
LN000343,10343,8996,7.58,2023-01-28,Current,77286,10+ years,2023-10-25,2023-10-26,1262.6,1056.91,1,7939.09,Bucket 1 (Low Risk)
LN000344,10344,6279,23.81,2024-03-11,Late,150746,5 years,2024-11-06,2024-12-25,902.87,921.41,49,5357.59,Bucket 2 (Medium Risk)
LN000345,10345,30452,10.87,2022-01-27,Current,82414,<1 year,2022-06-26,2022-06-24,866.02,1270.38,-2,29181.62,Current
LN000346,10346,28424,19.8,2022-08-27,Fully Paid,51249,1 year,2023-07-23,2023-07-24,1279.54,619.83,1,27804.17,Bucket 1 (Low Risk)
LN000347,10347,8664,19.75,2022-08-13,In Grace Period,126822,2 years,2022-11-11,2022-11-11,681.61,583.86,0,8080.14,Bucket 1 (Low Risk)
LN000348,10348,28513,22.45,2022-01-29,Late,117191,5 years,2022-11-25,2022-12-18,525.88,606.8,23,27906.2,Bucket 1 (Low Risk)
LN000349,10349,37258,15.76,2022-06-29,Current,48660,<1 year,2022-10-27,2022-10-28,873.59,323.91,1,36934.09,Bucket 1 (Low Risk)
LN000350,10350,26740,22.52,2022-07-26,Fully Paid,114327,10+ years,2022-10-24,2022-10-27,477.25,371.47,3,26368.53,Bucket 1 (Low Risk)
LN000351,10351,14283,19.94,2024-05-16,In Grace Period,120653,<1 year,2024-11-12,2024-11-16,703.87,1003.22,4,13279.78,Bucket 1 (Low Risk)
LN000352,10352,26142,8.46,2022-06-11,Late,139522,10+ years,2023-02-06,2023-05-05,1148.62,385.56,88,25756.44,Bucket 3 (High Risk)
LN000353,10353,41829,18.48,2023-09-21,Default,83520,10+ years,2024-07-17,,1277.35,0.0,719,41829.0,Default / Write-Off
LN000354,10354,29797,11.52,2023-12-07,Current,71585,10+ years,2024-01-06,2024-01-10,1225.0,1320.91,4,28476.09,Bucket 1 (Low Risk)
LN000355,10355,42190,6.58,2023-09-09,Current,82906,10+ years,2024-07-05,2024-07-04,468.77,1424.03,-1,40765.97,Current
LN000356,10356,10099,10.28,2022-11-24,Current,48258,10+ years,2023-10-20,2023-10-23,618.25,835.96,3,9263.04,Bucket 1 (Low Risk)
LN000357,10357,21353,18.48,2022-12-25,Current,53320,10+ years,2023-01-24,2023-01-22,1179.1,763.12,-2,20589.88,Current
LN000358,10358,15901,21.92,2023-05-20,Fully Paid,117073,5 years,2023-12-16,2023-12-15,1246.48,1294.57,-1,14606.43,Current
LN000359,10359,42883,17.72,2023-12-05,Current,143302,<1 year,2024-01-04,2024-01-06,613.35,324.09,2,42558.91,Bucket 1 (Low Risk)
LN000360,10360,11863,7.34,2022-06-24,Fully Paid,67180,10+ years,2022-08-23,2022-08-22,1482.33,705.54,-1,11157.46,Current
LN000361,10361,36636,18.68,2023-03-18,Fully Paid,68253,5 years,2023-10-14,2023-10-14,697.31,364.27,0,36271.73,Bucket 1 (Low Risk)
LN000362,10362,17450,13.37,2023-07-22,Late,166590,2 years,2024-06-16,2024-07-27,415.1,367.66,41,17082.34,Bucket 2 (Medium Risk)
LN000363,10363,30749,16.29,2024-05-10,Current,39288,2 years,2024-06-09,2024-06-13,1288.68,405.15,4,30343.85,Bucket 1 (Low Risk)
LN000364,10364,45965,16.8,2022-07-24,Current,79251,1 year,2023-06-19,2023-06-21,868.28,1472.47,2,44492.53,Bucket 1 (Low Risk)
